asin,brand,product_title,rating,title,body,date,helpful,verified,scraped_at
B0FLYGLKYQ,Safari,"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Flintstone",1.0,,I am not like this your product please take your back your order,2026-03-31,,True,2026-04-02T18:07:55.890717
B0FLYGLKYQ,Safari,"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Flintstone",1.0,,Order set of 3 and received only 1,2026-03-30,,True,2026-04-02T18:07:55.935183
B0FLYGLKYQ,Safari,"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Flintstone",2.0,,very disappointing,2026-03-30,,True,2026-04-02T18:07:55.983610
B0FLYGLKYQ,Safari,"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Flintstone",3.0,,Light weight and easy to move but the handle is fragile and wobbles while dragging the trolley bag. Quality isn't that good.,2026-03-29,,True,2026-04-02T18:07:56.056093
B0FLYGLKYQ,Safari,"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Flintstone",3.0,,Iska password open nahi ho rha ....plz guide kare,2026-03-29,,True,2026-04-02T18:07:56.107040
B0FLYGLKYQ,Safari,"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Flintstone",5.0,,My order first order on 20/3/26 cost of my order 1399rs but my order is returned from my delivery location without my information and I order again on24/3/26 same seller but cost is 100rs high please return my 100rs enough price,2026-03-29,,True,2026-04-02T18:07:56.153397
B0FLYGLKYQ,Safari,"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Flintstone",2.0,,Not value of money. I ordered it and the handle was broken of the medium size trolley,2026-03-28,,True,2026-04-02T18:07:56.224248
B0FLYGLKYQ,Safari,"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Flintstone",1.0,,I am not like this your product please take your back your order,2026-03-31,,True,2026-04-02T18:08:04.244761
B0FLYGLKYQ,Safari,"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Flintstone",1.0,,Order set of 3 and received only 1,2026-03-30,,True,2026-04-02T18:08:04.293208
B0FLYGLKYQ,Safari,"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Flintstone",2.0,,very disappointing,2026-03-30,,True,2026-04-02T18:08:04.336329
